"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6430","testLoginFlows","UI Regression Suite","Sun Feb 15 02:14:37 UTC 2026","passed","Sun Feb 15 02:14:44 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","744","Test Login via API","API Regression Suite","Sun Feb 15 02:11:52 UTC 2026","passed","Sun Feb 15 02:11:52 UTC 2026","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","25123","Test add new product","UI Regression Suite","Sun Feb 15 02:13:43 UTC 2026","passed","Sun Feb 15 02:14:08 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","7323","testLoginFlows","UI Regression Suite","Sun Feb 15 02:14:14 UTC 2026","passed","Sun Feb 15 02:14:21 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","26574","Test add new product","UI Regression Suite","Sun Feb 15 02:15:04 UTC 2026","passed","Sun Feb 15 02:15:31 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","1538","API: Verify Product detail consistency","API Regression Suite","Sun Feb 15 02:11:54 UTC 2026","passed","Sun Feb 15 02:11:56 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","743","Test Register User via API","API Regression Suite","Sun Feb 15 02:11:51 UTC 2026","failed","Sun Feb 15 02:11:52 UTC 2026","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testRegisterSuccess"
"","4035","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","Sun Feb 15 02:11:40 UTC 2026","passed","Sun Feb 15 02:11:44 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","4983","Verify Forgot Password Link","UI Regression Suite","Sun Feb 15 02:14:49 UTC 2026","passed","Sun Feb 15 02:14:54 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","11294","Verify User can add a product to the cart","UI Regression Suite","Sun Feb 15 02:13:31 UTC 2026","passed","Sun Feb 15 02:13:42 UTC 2026","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","3068","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","Sun Feb 15 02:11:36 UTC 2026","passed","Sun Feb 15 02:11:39 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","16104","Verify Product details in Cart Page","UI Regression Suite","Sun Feb 15 02:12:29 UTC 2026","passed","Sun Feb 15 02:12:46 UTC 2026","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
"","6830","Verify login functionality using ENTER key","UI Regression Suite","Sun Feb 15 02:15:02 UTC 2026","passed","Sun Feb 15 02:15:09 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","7176","testLoginFlows","UI Regression Suite","Sun Feb 15 02:14:21 UTC 2026","passed","Sun Feb 15 02:14:29 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","2733","API: Verify User can add new shipping address via API","API Regression Suite","Sun Feb 15 02:11:30 UTC 2026","passed","Sun Feb 15 02:11:33 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","8809","Verify Search functionality","UI Regression Suite","Sun Feb 15 02:13:22 UTC 2026","passed","Sun Feb 15 02:13:31 UTC 2026","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","9025","Test Login Flow","UI Regression Suite","Sun Feb 15 02:13:12 UTC 2026","passed","Sun Feb 15 02:13:21 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
